score,largest,date,time,notes
155436,8192,10/22/2014,1:32:31 PM,
76812,4096,10/22/2014,4:47:16 PM,
113588,8192,10/22/2014,11:03:00 PM,
114548,8192,10/23/2014,1:27:21 AM,
133164,8192,10/23/2014,3:52:37 AM,
18156,1024,10/23/2014,10:11:13 AM,
79188,4096,10/23/2014,11:23:20 AM,mistaken key press
131732,8192,10/23/2014,1:18:00 PM,
132884,8192,10/23/2014,7:32:54 PM,
45980,4096,10/23/2014,8:18:00 PM,
120268,8192,10/24/2014,2:59:12 AM,
71720,4096,10/24/2014,4:18:44 AM,
233004,16384,10/24/2014,3:12:17 PM,missed a bottom convergence
133192,8192,10/24/2014,5:13:18 PM,
168840,8192,10/24/2014,11:10:09 PM,
81148,4096,10/25/2014,1:04:45 AM,
131196,8192,10/26/2014,12:07:57 PM,
72444,4096,10/26/2014,1:04:10 PM,hubris
6384,512,10/26/2014,1:31:00 PM,
21556,1024,10/26/2014,1:46:42 PM,
173276,8192,10/27/2014,1:23:03 AM,
60824,4096,10/27/2014,2:29:27 AM,
16104,1024,10/27/2014,8:39:28 AM,
114764,8192,10/27/2014,6:16:20 PM,
79956,4096,10/27/2014,7:13:01 PM,
72764,4096,10/27/2014,11:15:42 PM,
168912,8192,10/28/2014,3:18:35 AM,
78936,4096,10/28/2014,2:21:12 PM,
168280,8192,10/28/2014,6:02:32 PM,
80592,4096,10/29/2014,1:31:37 PM,
134548,8192,10/30/2014,1:49:05 AM,4 spawned
107452,8192,10/30/2014,1:52:57 PM,
78096,4096,10/30/2014,3:00:06 PM,
16100,1024,10/30/2014,4:01:21 PM,
53984,4096,10/30/2014,9:40:57 PM,several bad consecutive spawns
28236,2048,10/30/2014,11:11:39 PM,4 spawned
149904,8192,10/31/2014,11:46:25 AM,
56612,4096,11/1/2014,2:30:32 AM,
289852,16384,11/1/2014,3:11:27 PM,record - 688
47908,4096,11/1/2014,4:11:58 PM,
155296,8192,11/2/2014,1:18:36 PM,
80412,4096,11/2/2014,3:55:14 PM,
52052,4096,11/2/2014,7:03:44 PM,
75552,4096,11/2/2014,9:31:37 PM,
1528,128,11/2/2014,9:52:10 PM,highly distracted
27228,2048,11/3/2014,12:50:20 AM,
18692,1024,11/3/2014,12:01:51 PM,
244,16,11/3/2014,12:07:15 PM,lowest score attempt
36360,2048,11/3/2014,1:12:19 PM,
7072,512,11/3/2014,1:34:51 PM,
2388,256,11/3/2014,1:36:25 PM,
31180,2048,11/3/2014,1:57:53 PM,
80480,4096,11/3/2014,3:20:24 PM,
131376,8192,11/4/2014,12:08:38 AM,
80852,4096,11/4/2014,12:44:08 PM,
131072,8192,11/4/2014,3:32:25 PM,
76500,4096,11/4/2014,4:23:51 PM,drunken blunder
34504,2048,11/4/2014,6:48:24 PM,
173344,8192,11/5/2014,3:04:35 AM,
155508,8192,11/5/2014,4:25:22 PM,
113612,8192,11/5/2014,7:27:53 PM,
60632,4096,11/6/2014,1:31:13 AM,
157132,8192,11/6/2014,3:04:21 PM,
17292,1024,11/6/2014,3:13:07 PM,
24004,2048,11/6/2014,3:29:17 PM,
134700,8192,11/6/2014,5:34:33 PM,
280558,16384,11/7/2014,3:09:38 AM,4 spawned
114548,8192,11/7/2014,12:45:00 PM,
32728,2048,11/7/2014,1:21:43 PM,
25620,2048,11/7/2014,2:31:47 PM,
320992,16384,11/8/2014,1:25:58 AM,record + 30452
29652,2048,11/8/2014,2:20:14 AM,
147788,8192,11/9/2014,1:55:47 PM,
62752,4096,11/9/2014,8:30:29 PM,
81100,4096,11/10/2014,12:20:19 AM,
63696,4096,11/10/2014,12:22:46 PM,
11496,1024,11/10/2014,1:07:15 PM,
132260,8192,11/11/2014,3:28:13 PM,4 spawned
73188,4096,11/11/2014,4:43:19 PM,
171624,8192,11/11/2014,11:40:40 PM,
108332,8192,11/12/2014,1:44:41 AM,
177114,8192,11/12/2014,1:35:31 PM,
46592,4096,11/12/2014,3:10:03 PM,
37108,2048,11/12/2014,6:03:29 PM,
51804,4096,11/13/2014,12:11:00 PM,
16344,1024,11/13/2014,1:57:43 PM,
177000,8192,11/13/2014,10:47:15 PM,
62464,4096,11/14/2014,12:01:53 AM,
112848,8192,11/14/2014,2:56:16 AM,
80720,4096,11/14/2014,3:52:48 PM,
79988,4096,11/15/2014,1:44:32 PM,4 spawned
27840,2048,11/15/2014,2:00:15 PM,hubris
30704,2048,11/15/2014,4:16:42 PM,
28012,2048,11/15/2014,5:18:28 PM,
152964,8192,11/18/2014,2:55:46 PM,
125600,8192,11/19/2014,3:07:48 PM,
164148,8192,11/21/2014,1:54:38 AM,
177060,8192,11/23/2014,1:09:50 AM,
132448,8192,11/24/2014,1:05:47 PM,
162960,8192,11/24/2014,6:20:23 PM,
131388,8192,11/25/2014,6:35:42 PM,
61096,4096,11/27/2014,6:32:49 PM,
129212,8192,11/27/2014,9:40:34 PM,
108812,8192,11/30/2014,4:38:53 AM,
176708,8192,12/2/2014,7:32:17 AM,
131176,8192,12/2/2014,9:29:12 AM,several bad consecutive spawns
148488,8192,12/3/2014,1:39:26 AM,4 spawned
16908,1024,12/3/2014,4:09:00 AM,drunken blunder
56288,4096,12/3/2014,6:33:55 AM,4 spawned
162480,8192,12/4/2014,5:15:17 AM,
161268,8192,12/5/2014,8:47:04 AM,
157296,8192,12/7/2014,5:03:37 AM,
177108,8192,12/10/2014,4:25:38 PM,
55484,4096,12/11/2014,1:31:21 AM,4 spawned
342808,16384,12/11/2014,9:27:12 PM,record + 21816
177364,8192,12/13/2014,4:27:56 AM,missed a bottom+1 convergence
78556,4096,12/15/2014,4:35:10 AM,4 spawned
66468,4096,12/15/2014,7:05:29 AM,low sleep
174652,8192,12/16/2014,7:12:09 AM,
156408,8192,12/17/2014,3:39:49 AM,4 spawned
167100,8192,12/17/2014,3:30:23 PM,several bad consecutive spawns
36752,2048,12/18/2014,7:48:19 AM,4 spawned
177268,8192,12/18/2014,10:35:43 AM,4 spawned
129640,8192,12/18/2014,9:58:09 PM,
120328,8192,12/19/2014,2:34:25 AM,
10084,1024,12/19/2014,2:42:57 AM,
166960,8192,12/19/2014,8:39:57 AM,
225968,16384,12/19/2014,12:52:49 PM,
62108,4096,12/20/2014,3:13:16 AM,
32248,2048,12/21/2014,4:19:26 AM,
154720,8192,12/21/2014,6:41:22 AM,
79156,4096,12/21/2014,2:22:21 PM,4 spawned
172116,8192,12/23/2014,10:08:03 PM,
78920,4096,12/24/2014,1:01:38 AM,
78000,4096,12/25/2014,6:27:29 AM,
279324,16384,12/27/2014,5:14:04 AM,
123656,8192,12/28/2014,12:23:36 AM,
110944,8192,12/28/2014,11:07:20 AM,
124012,8192,12/29/2014,3:46:20 PM,mistaken key press
270128,16384,12/29/2014,9:00:22 PM,4 spawned
80460,4096,12/30/2014,1:26:24 AM,
151572,8192,12/30/2014,5:00:13 AM,
173276,8192,12/31/2014,3:27:08 AM,
113584,8192,12/31/2014,5:25:57 AM,
150088,8192,1/1/2015,2:51:45 AM,
74324,4096,1/1/2015,3:51:55 AM,
168224,8192,1/1/2015,5:48:46 AM,
78152,4096,1/1/2015,7:02:38 AM,
239064,16384,1/1/2015,11:04:04 AM,
61188,4096,1/2/2015,11:35:07 AM,
290428,16384,1/3/2015,7:30:21 AM,
52244,4096,1/4/2015,5:03:53 AM,4 spawned
174852,8192,1/4/2015,7:08:55 AM,
45804,4096,1/4/2015,7:40:46 AM,4 spawned
78468,4096,1/4/2015,9:56:28 PM,
218712,16384,1/5/2015,1:44:26 AM,
176284,8192,1/5/2015,3:32:04 AM,
66724,4096,1/5/2015,6:16:27 AM,
36968,2048,1/5/2015,6:47:12 AM,4 spawned
75720,4096,1/5/2015,7:55:02 AM,
3720,256,1/5/2015,8:18:33 AM,inattentive
79736,4096,1/5/2015,6:19:13 PM,
123836,8192,1/5/2015,10:59:41 PM,
225940,16384,1/6/2015,2:09:16 AM,
36180,2048,1/6/2015,2:48:14 AM,
144024,8192,1/6/2015,5:23:55 AM,
68200,4096,1/6/2015,8:05:04 AM,
338984,16384,1/7/2015,12:21:28 AM,4 spawned;record - 3824
133412,8192,1/7/2015,2:02:35 AM,
113328,8192,1/7/2015,6:25:48 AM,
11724,1024,1/7/2015,6:37:08 AM,
72088,4096,1/7/2015,7:43:13 AM,mistaken key press
66312,4096,1/7/2015,3:19:15 PM,
257268,16384,1/8/2015,2:27:43 AM,
120360,8192,1/8/2015,7:11:47 AM,4 spawned
145176,8192,1/9/2015,12:23:51 PM,
102438,8192,1/9/2015,1:32:02 PM,4 spawned
267964,16384,1/10/2015,4:04:42 AM,
175720,8192,1/11/2015,6:59:55 PM,
77916,4096,1/12/2015,2:11:08 AM,4 spawned
73072,4096,1/12/2015,3:26:13 AM,
99864,8192,1/12/2015,4:35:40 AM,
127720,8192,1/12/2015,6:27:46 AM,
144740,8192,1/12/2015,6:50:38 PM,
177008,8192,1/12/2015,11:21:31 PM,recklessness
59684,4096,1/13/2015,8:36:48 AM,4 spawned
333284,16384,1/13/2015,1:22:43 PM,record - 9524
77424,4096,1/13/2015,7:49:49 PM,4 spawned
27152,2048,1/13/2015,8:13:52 PM,
175296,8192,1/14/2015,5:24:07 PM,4 spawned
154348,8192,1/14/2015,8:09:00 PM,
289772,16384,1/15/2015,7:41:35 AM,
129008,8192,1/16/2015,6:21:25 AM,4 spawned
59596,4096,1/16/2015,8:42:05 PM,
112860,8192,1/18/2015,3:50:01 AM,
177260,8192,1/18/2015,5:57:52 AM,
176432,8192,1/19/2015,6:18:16 PM,
168548,8192,1/19/2015,10:47:24 PM,
120856,8192,1/20/2015,2:16:23 AM,4 spawned
66072,4096,1/20/2015,5:32:30 AM,inattention
132932,8192,1/20/2015,8:09:03 AM,
173316,8192,1/20/2015,5:11:13 PM,
74376,4096,1/20/2015,7:23:33 PM,4 spawned
175548,8192,1/21/2015,2:06:56 AM,4 spawned
243792,16384,1/21/2015,8:55:19 AM,
76136,4096,1/21/2015,3:51:49 PM,
159068,8192,1/21/2015,6:04:27 PM,
72520,4096,1/21/2015,8:33:15 PM,
79344,4096,1/21/2015,10:23:13 PM,
80804,4096,1/22/2015,1:04:41 AM,
29188,2048,1/22/2015,2:21:15 AM,
80240,4096,1/22/2015,5:09:19 AM,
68252,4096,1/23/2015,1:37:03 AM,4 spawned;drunken blunder
149716,8192,1/23/2015,3:34:04 AM,
113484,8192,1/23/2015,6:14:17 AM,
167212,8192,1/23/2015,8:10:34 AM,
169248,8192,1/25/2015,1:42:22 AM,
166580,8192,1/25/2015,4:20:11 AM,
79724,4096,1/26/2015,7:00:15 PM,mistaken key press
28964,2048,1/27/2015,12:10:15 AM,4 spawned
3224,256,1/27/2015,9:02:20 AM,
158608,8192,1/27/2015,1:18:15 PM,4 spawned
326256,16384,1/27/2015,9:32:18 PM,
123624,8192,1/28/2015,12:50:30 AM,
67324,4096,1/28/2015,1:58:30 AM,inattention
123208,8192,1/28/2015,3:35:21 AM,
128344,8192,1/28/2015,5:28:23 AM,
176352,8192,1/28/2015,8:28:54 AM,
100636,8192,1/28/2015,4:42:03 PM,4 spawned
167112,8192,1/29/2015,2:11:33 AM,mistaken key press
113528,8192,1/29/2015,2:27:48 PM,
172740,8192,1/30/2015,2:20:54 PM,mistaken key press
169996,8192,1/30/2015,6:19:11 PM,
76592,4096,2/1/2015,8:34:50 PM,4 spawned
68192,4096,2/2/2015,2:23:39 AM,4 spawned
80124,4096,2/3/2015,1:59:47 PM,
153061,8192,2/3/2015,6:43:51 PM,4 spawned
154520,8192,2/4/2015,12:52:15 PM,